# e621 species (category 5) minus tags that Danbooru also has —— 名字一行一个
mammal
canid
canine
canis
felid
scalie
pokemon_(species)
humanoid
feline
equid
equine
human
mythological_scalie
domestic_dog
felis
domestic_cat
lagomorph
reptile
leporid
mythological_equine
pantherine
avian
bovid
hybrid
animal_humanoid
rodent
generation_1_pokemon
marine
pony
caprine
generation_4_pokemon
mammal_humanoid
true_fox
generation_3_pokemon
murid
murine
generation_2_pokemon
generation_6_pokemon
mustelid
bovine
eeveelution
earth_pony
generation_5_pokemon
prehistoric_species
digimon_(species)
bat
legendary_pokemon
mythological_canine
red_fox
generation_7_pokemon
eulipotyphlan
mouse
marsupial
procyonid
pastoral_dog
cattle
insect
herding_dog
werecreature
nordic_sled_dog
sciurid
felid_humanoid
werecanid
generation_8_pokemon
musteline
feline_humanoid
furred_scalie
elemental_creature
rat
mythological_avian
cat_humanoid
canid_humanoid
mephitid
ursine
werecanine
hunting_dog
canine_humanoid
canid_demon
ailurid
hellhound
animatronic
suine
primate
theropod
horned_humanoid
flora_fauna
suid
tree_squirrel
gryphon
sus_(pig)
spotted_hyena
raccoon_dog
animate_inanimate
amphibian
unknown_species
giant_panda
goo_creature
mollusk
boss_monster_(undertale)
galliform
phasianid
passerine
oscine
macropod
new_world_deer
true_musteline
haplorhine
koopa
generation_9_pokemon
marine_humanoid
gallus_(genus)
bird_dog
toy_dog
fox_humanoid
alien_humanoid
cetacean
alligatorid
sheepdog
demon_humanoid
corvid
changeling
pinscher
regional_form_(pokemon)
arachnid
sergal
toothed_whale
deity
lepidopteran
domestic_pig
wingless_dragon
dromaeosaurid
accipitriform
oceanic_dolphin
draconcopode
wild_boar
hymenopteran
american_opossum
retriever
ambiguous_species
molosser
experiment_(lilo_and_stitch)
mammal_taur
ground_squirrel
asinus
bandicoot
accipitrid
anubian_jackal
lagomorph_humanoid
bovid_humanoid
ornithischian
anseriform
anatid
mollusk_humanoid
cervine
cougar
feathered_scalie
elemental_humanoid
cephalopod_humanoid
corvus_(genus)
protogen
saber-toothed_tiger
robot_humanoid
leporid_humanoid
giraffid
rabbit_humanoid
yokai
bat_pony
food_creature
domestic_sheep
monotreme
cobra
hylian
dragon_humanoid
proboscidean
domestic_ferret
elephantid
oryctolagus
echidna
tyrannosauroid
tyrannosaurid
bovine_humanoid
alolan_form
tailed_humanoid
lombax
tyrannosaurus
naga
mastiff
velociraptor
merfolk
arthropod_humanoid
plant_humanoid
scalie_humanoid
maned_wolf
winged_humanoid
midnight_lycanroc
pinniped
living_machine
wolf_humanoid
twili
cattle_humanoid
sighthound
domestic_rabbit
gulonine
animated_skeleton
gastropod
coleoid
humanoid_taur
living_inflatable
fish_humanoid
virginia_opossum
hare
labrador
aquatic_dragon
keidran
hisuian_form
african_wild_dog
strepsirrhine
succubus
ceratopsian
equid_taur
waddling_head
camelid
flying_wyvern
herpestid
pandaren
siamese
striped_hyena
pal_(species)
living_vehicle
tauren
tentacle_creature
pterodactylus
owl_demon
dog_humanoid
caprine_demon
cricetid
rodent_humanoid
grizzly_bear
draconequus
cattledog
avali
jay_(bird)
spaniel
wolfdog
australian_cattle_dog
mink
new_world_jay
scent_hound
monstrous_humanoid
xenarthran
octarian
living_plushie
marten
fury_(httyd)
avian_humanoid
octopodiform
goat_demon
charr
mountain_dog
dingo
species_request
living_aircraft
terrier
mixed_breed
hippopotamid
ambient_arthropod
rottweiler
malo
common_hippopotamus
hairless_cat
gatomon
green_yoshi
night_fury
ornithopod
reptile_humanoid
hadrosaurid
darkner
alaskan_malamute
red_deer
equid_humanoid
elder_dragon
insect_humanoid
living_latex
mineral_fauna
draft_horse
robot_anthro
goo_humanoid
true_parrot
kirin
parasaurolophus
australian_shepherd
mythological_bird
mole_salamander
arachnid_humanoid
stoat
falconid
mythological_firebird
ambient_insect
echinoderm
aircraft_humanoid
requiem_shark
fossil_pokemon
fox_spirit
dwarf_rabbit
raven
dasyuromorph
hippogriff
peafowl
equine_humanoid
caracal_(genus)
saluki
viper
ambient_flier
gnoll
sea_eagle
monitor_lizard
flower_creature
ultra_beast
pantherine_humanoid
afrosoricid
tenrec
vulpera
rexouium
caprine_humanoid
fluffy_pony_(species)
mongoose
caninu
spider_humanoid
thyreophoran
paradox_pokemon
akita
lynian
synth_(vader-san)
asterozoan
night_elf
living_clothing
chinchillid
felkin
fanged_wyvern
vombatiform
cnidarian
flamedramon
arctic_wolf
veemon
malacostracan
columbid
sky_forme_shaymin
pilosan
samoyed
seal
ambient_bird
leopardus
recently_extinct_species
chinchilla
pomeranian
cocker_spaniel
decapodiform
sciurid_humanoid
dragonborn_(dnd)
cape_buffalo
sauropodomorph
digital_creature
basitin
spinosaurid
megabat
viverrid
white-tailed_deer
wolverine
tiger_shark
living_candy
ring-tailed_lemur
tree_squirrel_humanoid
pit_bull
vessel_(species)
ambient_sealife
decapoda
blood_elf
guardian_spirit
silver_fox
swiss_mountain_dog
stegosaurian
mythological_sphinx
ocelot
european_rabbit
mackerel_shark
midday_lycanroc
murid_humanoid
murine_humanoid
canid_taur
true_owl
living_fruit
fly_(animal)
striped_skunk
mantis
hirundinid
