# tag,kind -- 细分分类（大类/子类），未列出 = 未分类；改规则请改 _dev_tests/_gen_tag_kind.py 重跑
after_cum_kiss,sex/act
after_cunnilingus,sex/act
after_eating,expression/action
after_ejaculation,sex/act
after_fellatio,sex/act
after_frame_focus,camera/framing
after_handjob,sex/act
after_insertion,sex/act
after_masturbation,sex/act
after_oral,sex/act
after_oral_penetration,sex/act
after_orgasm,sex/act
after_orgasm_torture,sex/act
after_penetration,sex/act
after_rain,scene/sky
after_rape,sex/act
after_school_sweets_club_(blue_archive),scene/indoor
after_sex,sex/act
after_sex_sleeping,sex/act
after_sex_smoking,sex/act
after_the_rain,scene/sky
after_vaginal_masturbation,sex/act
after_vaginal_penetration,sex/act
afterschool_school_idol_(love_live!),scene/indoor
against_bar_counter,scene/indoor
against_bed,object/other
against_bookshelf,object/other
against_chair,object/other
against_desk,object/other
against_door,scene/outdoor
against_fence,scene/outdoor
against_fourth_wall,scene/outdoor
against_glass,object/food
against_mirror,object/tool
against_rock,scene/nature
against_screen,object/tool
against_table,object/other
against_tree,scene/nature
against_wall,scene/outdoor
agatha_chris_q_outfit_(touhou),clothing/whole
aggressive_ejaculation,sex/act
agnes_digital_(umamusume)_(cosplay),style/medium
agnes_tachyon_(umamusume)_(cosplay),style/medium
agumon_(cosplay),style/medium
ahegao,sex/act
ahnenerbe_shop_uniform,clothing/whole
ahoge,person/hair
ahoge_grab,person/hair
ahoge_removed,person/hair
ahoge_wag,person/hair
ahri_(league_of_legends)_(cosplay),style/medium
ai_drawing_anime_characters_eating_ramen_(meme),style/medium
aihara_academy_school_uniform,clothing/whole
aiming_gun,object/weapon
aiming_weapon,object/weapon
ainu_clothes,clothing/other
ainu_clothing,clothing/other
air_doggystyle,sex/act
air_from_mouth,person/body
air_guitar,expression/action
air_hockey_table,object/other
air_valve_navel,person/body
airborne_clothing,clothing/other
airborne_leaf,scene/nature
airburst_grenade_launcher,object/weapon
airplane_arms,person/body
airplane_ears,person/body
airplane_hair_ornament,clothing/head
airport,scene/outdoor
akademeia_uniform,clothing/whole
akademiya_uniform,clothing/whole
akagi_(azur_lane)_(cosplay),style/medium
akagi_(kancolle)_(cosplay),style/medium
akagi_ritsuko_(cosplay),style/medium
akali_(cosplay),style/medium
akari_(pokemon)_(cosplay),style/medium
akatsuki_(kancolle)_(cosplay),style/medium
akatsuki_uniform,clothing/whole
akebono_(kancolle)_(cosplay),style/medium
akemi_homura_(cosplay),style/medium
akg_k_series_headphones,object/tool
aki_minoriko_(cosplay),style/medium
aki_sandwich_(meme),object/food
aki_shizuha_(cosplay),style/medium
akiman_pose,expression/pose
akira_movie_poster,object/tool
akiyama_mio_(cosplay),style/medium
akiyama_rinko_(cosplay),style/medium
akizuki_(kancolle)_(cosplay),style/medium
ako_(blue_archive)_(cosplay),style/medium
akuma_homura_(cosplay),style/medium
alarm_clock,object/tool
alatreon_(armor),clothing/accessory
albedo_(overlord)_(cosplay),style/medium
alcina_dimitrescu_(cosplay),style/medium
alcohol_bottle,object/food
alexander_anderson's_pose,expression/pose
alice_(alice_in_wonderland)_(cosplay),style/medium
alice_margatroid_(cosplay),style/medium
alien_planet,scene/sky
aligned_feet,person/body
alisa_ilinichina_amiella_(cosplay),style/medium
allen_wrench,object/tool
alley,scene/outdoor
alley_sex,sex/act
allium_(flower),scene/nature
almost_nude,sex/act
aloe_(plant),scene/nature
aloha_shirt,clothing/top
alpaca_ears,person/body
alpaca_girl,person/count
alpaca_hair_ornament,clothing/head
alpha_omega_(cosplay),style/medium
alpha_signature,style/quality
alphabet_blocks,object/toy
alphes_(style),style/medium
alstroemeria_(flower),scene/nature
altera_(fate)_(cosplay),style/medium
alternate_animal_ears,person/body
alternate_art_style,style/medium
alternate_ass_size,person/body
alternate_body_hair,person/hair
alternate_breast_size_(larger),person/body
alternate_breast_size_(smaller),person/body
alternate_color_school_swimsuit,clothing/whole
alternate_costume,clothing/whole
alternate_ears,person/body
alternate_eye_color,person/eyes
alternate_eyebrows,person/eyes
alternate_facial_hair,person/hair
alternate_footwear,clothing/footwear
alternate_hair_color,person/hair
alternate_hair_length,person/hair
alternate_hair_length_(longer),person/hair
alternate_hair_length_(shorter),person/hair
alternate_hair_ornament,clothing/head
alternate_headwear,clothing/head
alternate_headwear_color,clothing/head
alternate_kanji_reading,expression/action
alternate_legwear,clothing/legwear
alternate_muscle_size,person/body
alternate_rainbow_pride_colors,scene/sky
alternate_scar,person/body
alternate_skin_color,person/body
alternate_skirt_length,clothing/bottom
alternate_tattoo,person/body
alternate_uniform,clothing/whole
alternate_weapon,object/weapon
alternating_focus,camera/framing
although_she_hurriedly_put_on_clothes_(meme),clothing/other
altyn_helmet,clothing/head
aluminum_can,object/food
alvis_uniform,clothing/whole
alzano_school_uniform,clothing/whole
ama_usa_an_uniform,clothing/whole
amagi_yukiko_(cosplay),style/medium
amamiya_ren_(cosplay),style/medium
